,Week,Start,HomeTeam,AwayTeam,HomePoints,AwayPoints,Winner,Loser,Tie1,Tie2
111,8,2020-11-01 13:00:00,BUF,NE,24,21,BUF,NE,,
112,8,2020-11-01 13:00:00,CLE,LV,6,16,LV,CLE,,
113,8,2020-11-01 13:00:00,CIN,TEN,31,20,CIN,TEN,,
114,8,2020-11-01 16:05:00,DEN,LAC,31,30,DEN,LAC,,
115,8,2020-11-01 16:25:00,SEA,SF,37,27,SEA,SF,,
116,8,2020-11-01 16:25:00,CHI,NO,23,26,NO,CHI,,
117,8,2020-11-01 20:20:00,PHI,DAL,23,9,PHI,DAL,,
118,8,2020-11-02 20:15:00,NYG,TB,23,25,TB,NYG,,
119,9,2020-11-05 20:20:00,SF,GB,,,,,,
120,9,2020-11-08 13:00:00,WAS,NYG,,,,,,
121,9,2020-11-08 13:00:00,JAX,HOU,,,,,,
122,9,2020-11-08 13:00:00,TEN,CHI,,,,,,
123,9,2020-11-08 13:00:00,KC,CAR,,,,,,
124,9,2020-11-08 13:00:00,BUF,SEA,,,,,,
125,9,2020-11-08 13:00:00,MIN,DET,,,,,,
126,9,2020-11-08 13:00:00,ATL,DEN,,,,,,
127,9,2020-11-08 13:00:00,IND,BAL,,,,,,
128,9,2020-11-08 16:05:00,LAC,LV,,,,,,
129,9,2020-11-08 16:25:00,DAL,PIT,,,,,,
130,9,2020-11-08 16:25:00,ARI,MIA,,,,,,
131,9,2020-11-08 20:20:00,TB,NO,,,,,,
132,9,2020-11-09 20:15:00,NYJ,NE,,,,,,
133,10,2020-11-12 20:20:00,TEN,IND,,,,,,
134,10,2020-11-15 13:00:00,GB,JAX,,,,,,
135,10,2020-11-15 13:00:00,CAR,TB,,,,,,
136,10,2020-11-15 13:00:00,CLE,HOU,,,,,,
137,10,2020-11-15 13:00:00,NYG,PHI,,,,,,
138,10,2020-11-15 13:00:00,DET,WAS,,,,,,
139,10,2020-11-15 16:05:00,LV,DEN,,,,,,
140,10,2020-11-15 16:05:00,ARI,BUF,,,,,,
141,10,2020-11-15 16:05:00,MIA,LAC,,,,,,
142,10,2020-11-15 16:25:00,PIT,CIN,,,,,,
143,10,2020-11-15 16:25:00,NO,SF,,,,,,
144,10,2020-11-15 16:25:00,LAR,SEA,,,,,,
145,10,2020-11-15 20:20:00,NE,BAL,,,,,,
146,10,2020-11-16 20:15:00,CHI,MIN,,,,,,
147,11,2020-11-19 20:20:00,SEA,ARI,,,,,,
148,11,2020-11-22 13:00:00,CAR,DET,,,,,,
149,11,2020-11-22 13:00:00,NO,ATL,,,,,,
150,11,2020-11-22 13:00:00,WAS,CIN,,,,,,
151,11,2020-11-22 13:00:00,HOU,NE,,,,,,
152,11,2020-11-22 13:00:00,IND,GB,,,,,,
153,11,2020-11-22 13:00:00,BAL,TEN,,,,,,
154,11,2020-11-22 13:00:00,JAX,PIT,,,,,,
155,11,2020-11-22 13:00:00,CLE,PHI,,,,,,
156,11,2020-11-22 16:05:00,LAC,NYJ,,,,,,
157,11,2020-11-22 16:05:00,DEN,MIA,,,,,,
158,11,2020-11-22 16:25:00,MIN,DAL,,,,,,
159,11,2020-11-22 20:20:00,LV,KC,,,,,,
160,11,2020-11-23 20:15:00,TB,LAR,,,,,,
161,12,2020-11-26 12:30:00,DET,HOU,,,,,,
162,12,2020-11-26 16:30:00,DAL,WAS,,,,,,
163,12,2020-11-26 20:20:00,PIT,BAL,,,,,,
164,12,2020-11-29 13:00:00,IND,TEN,,,,,,
165,12,2020-11-29 13:00:00,BUF,LAC,,,,,,
166,12,2020-11-29 13:00:00,NYJ,MIA,,,,,,
167,12,2020-11-29 13:00:00,CIN,NYG,,,,,,
168,12,2020-11-29 13:00:00,NE,ARI,,,,,,
169,12,2020-11-29 13:00:00,MIN,CAR,,,,,,
170,12,2020-11-29 13:00:00,ATL,LV,,,,,,
171,12,2020-11-29 13:00:00,JAX,CLE,,,,,,
172,12,2020-11-29 16:05:00,DEN,NO,,,,,,
173,12,2020-11-29 16:05:00,LAR,SF,,,,,,
174,12,2020-11-29 16:25:00,TB,KC,,,,,,
175,12,2020-11-29 20:20:00,GB,CHI,,,,,,
176,12,2020-11-30 20:15:00,PHI,SEA,,,,,,
177,13,2020-12-03 20:20:00,BAL,DAL,,,,,,
178,13,2020-12-06 13:00:00,NYJ,LV,,,,,,
179,13,2020-12-06 13:00:00,TEN,CLE,,,,,,
180,13,2020-12-06 13:00:00,CHI,DET,,,,,,
181,13,2020-12-06 13:00:00,PIT,WAS,,,,,,
182,13,2020-12-06 13:00:00,MIN,JAX,,,,,,
183,13,2020-12-06 13:00:00,MIA,CIN,,,,,,
184,13,2020-12-06 13:00:00,HOU,IND,,,,,,
185,13,2020-12-06 13:00:00,ATL,NO,,,,,,
186,13,2020-12-06 16:05:00,ARI,LAR,,,,,,
187,13,2020-12-06 16:05:00,SEA,NYG,,,,,,
188,13,2020-12-06 16:25:00,GB,PHI,,,,,,
189,13,2020-12-06 16:25:00,LAC,NE,,,,,,
190,13,2020-12-06 20:20:00,KC,DEN,,,,,,
191,13,2020-12-07 20:15:00,SF,BUF,,,,,,
192,14,2020-12-10 20:20:00,LAR,NE,,,,,,
193,14,2020-12-13 13:00:00,JAX,TEN,,,,,,
194,14,2020-12-13 13:00:00,MIA,KC,,,,,,
195,14,2020-12-13 13:00:00,CAR,DEN,,,,,,
196,14,2020-12-13 13:00:00,CIN,DAL,,,,,,
197,14,2020-12-13 13:00:00,NYG,ARI,,,,,,
198,14,2020-12-13 13:00:00,CHI,HOU,,,,,,
199,14,2020-12-13 13:00:00,TB,MIN,,,,,,
200,14,2020-12-13 13:00:00,DET,GB,,,,,,
201,14,2020-12-13 16:05:00,LV,IND,,,,,,
202,14,2020-12-13 16:05:00,SEA,NYJ,,,,,,
203,14,2020-12-13 16:25:00,PHI,NO,,,,,,
204,14,2020-12-13 16:25:00,LAC,ATL,,,,,,
